date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:01:29	74694/74694	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jan%202018%2012:45:12%20GMT	https://konservative.dk/	C:/My%20Web%20Sites/Morten/konservative.dk/index.html	(from )
21:01:29	69/69	---M-Z	200	added ('OK')	text/plain	date:Sun,%2014%20Jan%202018%2015:31:12%20GMT	https://konservative.dk/robots.txt		(from )
21:01:30	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2014%20Jan%202018%2015:31:29%20GMT	https://konservative.dk/xmlrpc.php	C:/My%20Web%20Sites/Morten/konservative.dk/xmlrpc.php	(from https://konservative.dk/)
21:01:31	10166/10166	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Dec%202016%2021:10:29%20GMT	https://cdn.konservative.dk/wp-content/uploads/sites/8/2016/11/Fb-thumbnail-1200x630.png	C:/My%20Web%20Sites/Morten/cdn.konservative.dk/wp-content/uploads/sites/8/2016/11/Fb-thumbnail-1200x630.png	(from https://konservative.dk/)
21:01:32	350/350	---M-Z	200	added ('OK')	application/json	date:Thu,%2026%20Oct%202017%2020:07:15%20GMT	https://konservative.dk/wp-content/plugins/dkf_flawless/manifest.json	C:/My%20Web%20Sites/Morten/konservative.dk/wp-content/plugins/dkf_flawless/manifest.json	(from https://konservative.dk/)
21:01:32	16229/16229	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Jan%202018%2015:54:26%20GMT	https://cdn.konservative.dk/wp-content/cache/min/8/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider-245054a44be807868ecd462428569c5a.css	C:/My%20Web%20Sites/Morten/cdn.konservative.dk/wp-content/cache/min/8/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider-245054a44be807868ecd462428569c5a.css	(from https://konservative.dk/)
21:01:32	1402/1402	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Jan%202018%2015:54:26%20GMT	https://cdn.konservative.dk/wp-content/cache/min/8/wp-content/plugins/contact-form-7/includes/css/styles-b7e9e72da223594cd2f6ffd4060622a2.css	C:/My%20Web%20Sites/Morten/cdn.konservative.dk/wp-content/cache/min/8/wp-content/plugins/contact-form-7/includes/css/styles-b7e9e72da223594cd2f6ffd4060622a2.css	(from https://konservative.dk/)
21:01:32	283/283	---M-Z	200	added ('OK')	text/calendar	date:Sun,%2014%20Jan%202018%2015:31:32%20GMT	https://konservative.dk/kalender/?ical=1	C:/My%20Web%20Sites/Morten/konservative.dk/kalender/indexedf3.html	(from https://konservative.dk/)
21:01:32	2177/2177	---M-Z	200	added ('OK')	text/css	date:Thu,%2009%20Nov%202017%2015:34:05%20GMT	https://cdn.konservative.dk/wp-content/plugins/cookie-notice/css/front.min.css	C:/My%20Web%20Sites/Morten/cdn.konservative.dk/wp-content/plugins/cookie-notice/css/front.min.css	(from https://konservative.dk/)
21:01:33	25644/25644	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Jan%202018%2015:54:26%20GMT	https://cdn.konservative.dk/wp-content/cache/min/8/wp-content/plugins/wordpress-social-stream/css/dcwss-cecb1856aab81e3d41077ae3461462db.css	C:/My%20Web%20Sites/Morten/cdn.konservative.dk/wp-content/cache/min/8/wp-content/plugins/wordpress-social-stream/css/dcwss-cecb1856aab81e3d41077ae3461462db.css	(from https://konservative.dk/)
21:01:33	46822/46822	---M-Z	200	added ('OK')	text/css	date:Wed,%2010%20Jan%202018%2021:57:56%20GMT	https://cdn.konservative.dk/wp-content/plugins/the-events-calendar/src/resources/css/tribe-events-full.min.css	C:/My%20Web%20Sites/Morten/cdn.konservative.dk/wp-content/plugins/the-events-calendar/src/resources/css/tribe-events-full.min.css	(from https://konservative.dk/)
